,StartDate,EndDate,Status,Progress,Durationinseconds,Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,mobilet_PageSubmit,Q1_Browser,Q1_Version,Q1_OperatingSystem,Q1_Resolution,consent,Condition,dv,dv_t,age,sex,sex_3_TEXT,langdiffi,langdiffi_2_TEXT,techdiffi,techdiffi_2_TEXT,comments,FL_19_DO
13,13924694711.0,13924694826.000002,0.0,100.0,115.0,1.0,13924694826.000002,R_5zwtjXmJW5jbHUC,anonymous,EN,,Chrome,120.0.0.0,Windows NT 10.0,1536x864,1.0,Human,8.0,18.381,57.0,2.0,,1.0,,1.0,,,Human
14,13924694882.0,13924694922.999998,0.0,100.0,41.0,1.0,13924694924.0,R_65Ns3b0ckFqqTu4,anonymous,EN,,Safari,17.1.2,Macintosh,1280x800,1.0,Human,3.0,14.765,22.0,2.0,,1.0,,1.0,,,Human
15,13924694892.000002,13924694941.999998,0.0,100.0,49.0,1.0,13924694941.999998,R_6wT7eQZbxyelmyR,anonymous,EN,,Chrome,120.0.0.0,Macintosh,1440x900,1.0,AI,8.0,18.334,37.0,1.0,,1.0,,1.0,,,AI
16,13924694921.0,13924694952.000002,0.0,100.0,31.0,1.0,13924694952.999998,R_1JOOV60BrJLkmqM,anonymous,EN,,Chrome,105.0.0.0,Macintosh,1440x900,1.0,Human,1.0,5.377,21.0,2.0,,1.0,,1.0,,,Human
17,13924694917.000002,13924694980.0,0.0,100.0,62.0,1.0,13924694980.0,R_3uWcuFA1LhzAjrN,anonymous,EN,,Chrome,120.0.0.0,Windows NT 10.0,1280x768,1.0,AI,9.0,20.46,62.0,2.0,,1.0,,1.0,,,AI
18,13924694947.0,13924694987.999998,0.0,100.0,40.0,1.0,13924694987.999998,R_5PinJ9idfUN2aLi,anonymous,EN,,Chrome,120.0.0.0,Windows NT 10.0,1920x1080,1.0,Human,3.0,8.655,20.0,1.0,,1.0,,1.0,,,Human
19,13924694994.000002,13924695038.0,0.0,100.0,43.0,1.0,13924695038.999998,R_3OTVdpFqop5ea45,anonymous,EN,,Firefox,120,Windows NT 10.0,1536x864,1.0,AI,9.0,7.544,38.0,1.0,,1.0,,1.0,,,AI
20,13924695025.999998,13924695082.0,0.0,100.0,55.0,1.0,13924695083.000002,R_7JjZi7Vfge7BdwP,anonymous,EN,,Chrome,120.0.0.0,Windows NT 10.0,1536x864,1.0,Human,7.0,15.457,39.0,2.0,,1.0,,1.0,,,Human
21,13924695025.999998,13924695095.0,0.0,100.0,69.0,1.0,13924695095.0,R_7saBLvzmzNnNZFn,anonymous,EN,,Edge,120.0.0.0,Windows NT 10.0,1600x900,1.0,Human,3.0,15.389,50.0,2.0,,1.0,,1.0,,,Human
22,13924695078.0,13924695100.0,0.0,100.0,22.0,1.0,13924695100.999998,R_71seTdU1acTGt5D,anonymous,EN,,Chrome,119.0.0.0,Macintosh,1440x900,1.0,Human,3.0,5.714,20.0,1.0,,1.0,,1.0,,,Human
23,13924695057.000002,13924695112.0,0.0,100.0,54.0,1.0,13924695112.0,R_69K3Gloftt3rUWt,anonymous,EN,,Firefox,121,Windows NT 10.0,1280x720,1.0,AI,8.0,15.591,36.0,2.0,,1.0,,1.0,,,AI
24,13924695080.0,13924695117.000002,0.0,100.0,36.0,1.0,13924695117.000002,R_6pQYvvLeQR5MTfK,anonymous,EN,,Chrome,120.0.0.0,Macintosh,1440x900,1.0,AI,9.0,10.214,27.0,2.0,,1.0,,1.0,,,AI
25,13924695071.0,13924695142.0,0.0,100.0,71.0,1.0,13924695142.0,R_1VdLCthwwrJBSvG,anonymous,EN,,Chrome,120.0.0.0,Macintosh,1512x982,1.0,AI,8.0,36.3,27.0,2.0,,1.0,,1.0,,,AI
26,13924695117.999998,13924695151.0,0.0,100.0,33.0,1.0,13924695152.0,R_5C7wiFJnUcxnFCw,anonymous,EN,,Opera,105.0.0.0,Windows NT 10.0,1920x1080,1.0,Human,5.0,11.377,23.0,1.0,,1.0,,1.0,,,Human
27,13924695119.999998,13924695163.0,0.0,100.0,42.0,1.0,13924695163.0,R_5Lk8UNOBQF34zRz,anonymous,EN,,Chrome,120.0.0.0,Windows NT 10.0,1366x768,1.0,AI,9.0,9.59,51.0,2.0,,1.0,,1.0,,,AI
28,13924695112.0,13924695174.0,0.0,100.0,62.0,1.0,13924695175.0,R_3woUYbEgWqxivE9,anonymous,EN,,Chrome,120.0.0.0,Windows NT 10.0,1536x864,1.0,AI,9.0,12.936,24.0,2.0,,1.0,,1.0,,,AI
29,13924695093.0,13924695175.0,0.0,100.0,81.0,1.0,13924695175.0,R_31ir7rUqFKAldhn,anonymous,EN,,Chrome,120.0.0.0,Windows NT 10.0,1920x1080,1.0,Human,4.0,35.855,32.0,1.0,,1.0,,1.0,,,Human
30,13924695147.000002,13924695189.0,0.0,100.0,41.0,1.0,13924695189.0,R_7tzJ12IA36lvA50,anonymous,EN,,Chrome,120.0.0.0,Windows NT 10.0,1920x1080,1.0,Human,3.0,13.798,43.0,1.0,,1.0,,1.0,,,Human
31,13924695171.0,13924695212.0,0.0,100.0,41.0,1.0,13924695212.0,R_3dRvVTHVvjJuD7g,anonymous,EN,,Chrome,120.0.0.0,CrOS x86_64 14541.0.0,1366x768,1.0,AI,7.0,7.042,30.0,1.0,,1.0,,1.0,,,AI
32,13924695162.000002,13924695225.0,0.0,100.0,63.0,1.0,13924695226.0,R_8VeLDWc2LGFtd0B,anonymous,EN,,Chrome,120.0.0.0,Windows NT 10.0,1366x768,1.0,AI,9.0,16.337,33.0,1.0,,1.0,,1.0,,,AI
33,13924695198.0,13924695240.0,0.0,100.0,41.0,1.0,13924695240.0,R_3jKpKvEcPRtsg93,anonymous,EN,,Chrome,120.0.0.0,Windows NT 10.0,1536x864,1.0,Human,3.0,9.022,23.0,1.0,,1.0,,1.0,,,Human
34,13924695203.0,13924695241.0,0.0,100.0,37.0,1.0,13924695241.0,R_2gMUkyxLy2VMkeL,anonymous,EN,,Chrome,120.0.0.0,Windows NT 10.0,1536x864,1.0,AI,9.0,7.181,58.0,2.0,,1.0,,1.0,,,AI
35,13924695223.000002,13924695266.0,0.0,100.0,42.0,1.0,13924695266.0,R_3aqOpNXrXf7asmR,anonymous,EN,,Chrome,120.0.0.0,Macintosh,1440x900,1.0,Human,4.0,14.793,42.0,1.0,,1.0,,1.0,,,Human
36,13924695234.999998,13924695276.000002,0.0,100.0,41.0,1.0,13924695277.0,R_7myLAWRqrxzNqLB,anonymous,EN,,Chrome,120.0.0.0,Windows NT 10.0,1920x1080,1.0,Human,4.0,13.333,24.0,1.0,,1.0,,1.0,,,Human
37,13924695246.0,13924695293.999998,0.0,100.0,47.0,1.0,13924695293.999998,R_5Giv6Q2li8xue4O,anonymous,EN,,Chrome,120.0.0.0,Windows NT 10.0,1536x864,1.0,AI,8.0,11.716,22.0,2.0,,1.0,,1.0,,NA,AI
38,13924695261.000002,13924695314.0,0.0,100.0,53.0,1.0,13924695314.0,R_7XDBs9TGPdUjfC9,anonymous,EN,,Chrome,120.0.0.0,Macintosh,1440x900,1.0,AI,9.0,12.525,21.0,2.0,,1.0,,1.0,,,AI
39,13924695177.0,13924695327.000002,0.0,100.0,150.0,1.0,13924695328.0,R_2ivlB2QDqDYNpIt,anonymous,EN,,Chrome,119.0.0.0,Macintosh,1440x900,1.0,Human,3.0,108.949,43.0,2.0,,1.0,,1.0,,,Human
40,13924695323.0,13924695353.0,0.0,100.0,30.0,1.0,13924695354.0,R_61zyU7mD9aVWpry,anonymous,EN,,Chrome,119.0.0.0,Macintosh,1440x900,1.0,Human,4.0,7.221,40.0,2.0,,1.0,,1.0,,,Human
41,13924695342.999998,13924695381.999998,0.0,100.0,39.0,1.0,13924695382.999998,R_6dAbMsowiAd0F05,anonymous,EN,,Chrome,120.0.0.0,Macintosh,1440x900,1.0,Human,3.0,6.962,39.0,1.0,,1.0,,1.0,,,Human
42,13924695362.0,13924695391.0,0.0,100.0,28.0,1.0,13924695392.0,R_6wbivfuRphodkjG,anonymous,EN,,Chrome,120.0.0.0,Windows NT 10.0,1280x720,1.0,AI,7.0,4.388,21.0,2.0,,1.0,,1.0,,,AI
43,13924695381.0,13924695417.0,0.0,100.0,36.0,1.0,13924695418.0,R_5EHsTTjcshY7MVo,anonymous,EN,,Chrome,120.0.0.0,Windows NT 10.0,1536x864,1.0,AI,9.0,10.431,23.0,2.0,,1.0,,1.0,,,AI
44,13924695435.0,13924695473.000002,0.0,100.0,37.0,1.0,13924695473.000002,R_6IEMmZJqrl7TStu,anonymous,EN,,Chrome,120.0.0.0,Macintosh,1512x982,1.0,Human,5.0,7.753,41.0,2.0,,1.0,,1.0,,,Human
45,13924695443.0,13924695492.000002,0.0,100.0,48.0,1.0,13924695492.000002,R_7H6PjC8eir8DBv3,anonymous,EN,,Chrome,120.0.0.0,Macintosh,1440x900,1.0,AI,9.0,9.859,23.0,2.0,,1.0,,1.0,,,AI
46,13924695452.000002,13924695495.0,0.0,100.0,42.0,1.0,13924695495.0,R_7ypCZwXUOAF1hnz,anonymous,EN,,Chrome,120.0.0.0,Windows NT 10.0,1920x1080,1.0,Human,4.0,15.103,30.0,1.0,,1.0,,1.0,,,Human
47,13924695466.0,13924695514.0,0.0,100.0,48.0,1.0,13924695514.0,R_3CC5RGBlYsUQSs1,anonymous,EN,,Chrome,120.0.0.0,CrOS x86_64 14541.0.0,1536x864,1.0,AI,9.0,10.391,39.0,1.0,,1.0,,1.0,,,AI
48,13924695488.000002,13924695530.0,0.0,100.0,41.0,1.0,13924695530.0,R_3feVPcGnn6sIoRG,anonymous,EN,,Chrome,120.0.0.0,Windows NT 10.0,1536x864,1.0,Human,4.0,13.882,37.0,1.0,,1.0,,1.0,,,Human
49,13924695517.0,13924695559.999998,0.0,100.0,43.0,1.0,13924695560.999998,R_6EJhTvBmbmK5GSd,anonymous,EN,,Chrome,120.0.0.0,Windows NT 10.0,1536x864,1.0,Human,4.0,16.751,23.0,2.0,,1.0,,1.0,,,Human
50,13924695532.0,13924695573.999998,0.0,100.0,41.0,1.0,13924695573.999998,R_1EiMtS6nrsWbO50,anonymous,EN,,Edge,120.0.0.0,Windows NT 10.0,1536x864,1.0,Human,4.0,8.706,25.0,1.0,,1.0,,1.0,,,Human
51,13924695524.0,13924695577.0,0.0,100.0,53.0,1.0,13924695577.0,R_55uWBqjwVy8hq5t,anonymous,EN,,Edge,120.0.0.0,Windows NT 10.0,1366x768,1.0,AI,9.0,12.413,21.0,1.0,,1.0,,1.0,,,AI
52,13924695546.999998,13924695586.0,0.0,100.0,38.0,1.0,13924695586.0,R_789siPvztvtKpk5,anonymous,EN,,Safari,16.6.1,Macintosh,1440x900,1.0,AI,9.0,8.838,49.0,2.0,,1.0,,1.0,,,AI
53,13924695507.0,13924695587.0,0.0,100.0,80.0,1.0,13924695588.0,R_1EnKNkKddgAsm81,anonymous,EN,,Chrome,109.0.0.0,Windows NT 10.0,1366x768,1.0,Human,6.0,30.875,50.0,2.0,,1.0,,1.0,,none,Human
54,13924695570.0,13924695599.0,0.0,100.0,29.0,1.0,13924695599.0,R_5I72BaXYBiWocrG,anonymous,EN,,Chrome,120.0.0.0,Windows NT 10.0,1920x1080,1.0,AI,8.0,5.66,27.0,2.0,,1.0,,1.0,,,AI
55,13924695527.0,13924695603.999998,0.0,100.0,76.0,1.0,13924695603.999998,R_5LYCAG6QxfWhBjl,anonymous,EN,,Chrome,116.0.0.0,Windows NT 10.0,1920x1080,1.0,AI,8.0,11.444,32.0,1.0,,1.0,,1.0,,,AI
56,13924695584.0,13924695620.0,0.0,100.0,36.0,1.0,13924695621.0,R_8FCaExxMvWaBy49,anonymous,EN,,Chrome,120.0.0.0,Macintosh,1680x1050,1.0,Human,3.0,13.779,43.0,1.0,,1.0,,1.0,,,Human
57,13924695623.999998,13924695656.000002,0.0,100.0,32.0,1.0,13924695656.000002,R_8ogPnD6MWTCytXd,anonymous,EN,,Chrome,120.0.0.0,Windows NT 10.0,1536x864,1.0,AI,8.0,6.487,44.0,2.0,,1.0,,1.0,,,AI
58,13924695600.0,13924695655.0,0.0,100.0,55.0,1.0,13924695656.000002,R_3Eiq9xPu2cGI7po,anonymous,EN,,Chrome,120.0.0.0,Windows NT 10.0,1440x900,1.0,AI,6.0,15.147,55.0,2.0,,1.0,,1.0,,,AI
59,13924695616.999998,13924695656.000002,0.0,100.0,38.0,1.0,13924695656.000002,R_6aQSeHC8rfqH9UO,anonymous,EN,,Edge,120.0.0.0,Windows NT 10.0,1536x864,1.0,Human,2.0,10.109,36.0,2.0,,1.0,,1.0,,,Human
60,13924695634.0,13924695674.0,0.0,100.0,40.0,1.0,13924695674.999998,R_4h5d0xmqNNCTnqX,anonymous,EN,,Safari,16.2,Macintosh,1792x1120,1.0,AI,8.0,13.409,34.0,1.0,,1.0,,1.0,,no,AI
61,13924695647.999998,13924695690.000002,0.0,100.0,42.0,1.0,13924695690.000002,R_2EBNyRGBMsf5fXP,anonymous,EN,,Chrome,120.0.0.0,Macintosh,1440x900,1.0,AI,8.0,6.697,36.0,1.0,,1.0,,1.0,,,AI
62,13924695664.000002,13924695692.0,0.0,100.0,27.0,1.0,13924695692.0,R_6kXQpjSBM6sOH2E,anonymous,EN,,Chrome,120.0.0.0,Windows NT 10.0,2560x1440,1.0,Human,3.0,5.293,36.0,1.0,,1.0,,1.0,,,Human
63,13924695621.0,13924695698.0,0.0,100.0,76.0,1.0,13924695698.0,R_2Dj2WInySdzXe1m,anonymous,EN,,Edge,120.0.0.0,Windows NT 10.0,1920x1080,1.0,Human,5.0,11.493,41.0,1.0,,1.0,,1.0,,,Human
64,13924695658.0,13924695703.000002,0.0,100.0,44.0,1.0,13924695703.000002,R_5YBEVXtHGbC6z4J,anonymous,EN,,Chrome,120.0.0.0,Linux x86_64,360x780,1.0,Human,5.0,6.7,25.0,2.0,,1.0,,1.0,,,Human
65,13924695661.999998,13924695730.0,0.0,100.0,67.0,1.0,13924695730.0,R_1FyY7xy38lghsb7,anonymous,EN,,Chrome,120.0.0.0,Windows NT 10.0,1536x864,1.0,AI,9.0,13.88,29.0,1.0,,1.0,,1.0,,,AI
66,13924695705.0,13924695740.000002,0.0,100.0,34.0,1.0,13924695741.0,R_11Z69qGLdTj8QUV,anonymous,EN,,Firefox,121,Windows NT 10.0,1366x768,1.0,AI,8.0,4.435,22.0,1.0,,1.0,,1.0,,,AI
67,13924695686.0,13924695741.0,0.0,100.0,55.0,1.0,13924695742.0,R_6N9T9FOBlpTRkhD,anonymous,EN,,Chrome,120.0.0.0,Windows NT 10.0,1536x864,1.0,Human,4.0,14.433,55.0,1.0,,1.0,,1.0,,,Human
68,13924695718.999998,13924695759.0,0.0,100.0,39.0,1.0,13924695759.0,R_7OUum2JMA8QvMfO,anonymous,EN,,Chrome,120.0.0.0,Macintosh,1728x1117,1.0,Human,7.0,8.038,34.0,1.0,,1.0,,1.0,,,Human
69,13924695718.999998,13924695766.0,0.0,100.0,46.0,1.0,13924695766.0,R_7qmw87HYrloyFyP,anonymous,EN,,Chrome,120.0.0.0,Macintosh,1440x900,1.0,AI,9.0,12.48,39.0,2.0,,1.0,,1.0,,,AI
70,13924695702.0,13924695768.0,0.0,100.0,65.0,1.0,13924695768.999998,R_1JV3PeydKVh1lGp,anonymous,EN,,Chrome,120.0.0.0,Macintosh,1440x900,1.0,Human,3.0,30.381,27.0,2.0,,1.0,,1.0,,,Human
71,13924695734.0,13924695770.0,0.0,100.0,36.0,1.0,13924695772.0,R_5memo2ynUOdloMp,anonymous,EN,,Chrome,120.0.0.0,Windows NT 10.0,1366x768,1.0,AI,8.0,11.519,30.0,1.0,,1.0,,1.0,,,AI
72,13924695751.999998,13924695788.0,0.0,100.0,36.0,1.0,13924695788.999998,R_6DMsfd9BtHx4bOb,anonymous,EN,,Chrome,120.0.0.0,Windows NT 10.0,1280x1024,1.0,Human,4.0,10.25,30.0,2.0,,1.0,,1.0,,,Human
73,13924695720.000002,13924695792.000002,0.0,100.0,71.0,1.0,13924695792.000002,R_3EsEjLOVcAKUFrQ,anonymous,EN,,Chrome,120.0.0.0,Windows NT 10.0,1920x1080,1.0,AI,9.0,42.267,33.0,2.0,,1.0,,1.0,,,AI
74,13924695781.0,13924695820.000002,0.0,100.0,38.0,1.0,13924695820.000002,R_3ix9JCUN0kku9Q2,anonymous,EN,,Chrome,119.0.0.0,CrOS x86_64 14541.0.0,1920x1080,1.0,Human,5.0,9.1,32.0,2.0,,1.0,,1.0,,,Human
75,13924695760.000002,13924695822.000002,0.0,100.0,62.0,1.0,13924695823.0,R_6sd6zKqZg2boPxA,anonymous,EN,,Chrome,120.0.0.0,Windows NT 10.0,1707x1067,1.0,Human,3.0,15.693,18.0,1.0,,1.0,,1.0,,,Human
76,13924695541.0,13924695838.0,0.0,100.0,297.0,1.0,13924695838.0,R_1MmnqOjOmu4Yt3r,anonymous,EN,,Firefox,121,Windows NT 10.0,1024x576,1.0,AI,9.0,7.917,36.0,1.0,,1.0,,1.0,,,AI
77,13924695753.0,13924695844.000002,0.0,100.0,90.0,1.0,13924695844.000002,R_64P20IC3W5nmmOv,anonymous,EN,,Edge,120.0.0.0,Windows NT 10.0,1210x681,1.0,Human,6.0,10.388,56.0,2.0,,1.0,,1.0,,,Human
78,13924695788.999998,13924695857.999998,0.0,100.0,69.0,1.0,13924695857.999998,R_50qhnZzjw1z7lvi,anonymous,EN,,Chrome,120.0.0.0,Windows NT 10.0,1366x768,1.0,AI,6.0,22.665,36.0,1.0,,1.0,,1.0,,,AI
79,13924695809.0,13924695859.0,0.0,100.0,50.0,1.0,13924695860.0,R_5tH91j6PIgHnDCV,anonymous,EN,,Firefox,121,Windows NT 10.0,1366x768,1.0,Human,4.0,14.974,52.0,2.0,,1.0,,1.0,,,Human
80,13924695820.000002,13924695869.0,0.0,100.0,49.0,1.0,13924695870.0,R_1mQNBg9bqZq9bgN,anonymous,EN,,Safari,16.6,Macintosh,1440x900,1.0,Human,3.0,5.196,23.0,2.0,,1.0,,1.0,,,Human
81,13924695822.000002,13924695891.999998,0.0,100.0,70.0,1.0,13924695893.0,R_61BYUm9MzANVmnf,anonymous,EN,,Firefox,121,Windows NT 10.0,1707x960,1.0,AI,8.0,39.279,38.0,1.0,,1.0,,1.0,,,AI
82,13924695844.999998,13924695902.999998,0.0,100.0,58.0,1.0,13924695904.0,R_7vbMBS15GPS9Kp3,anonymous,EN,,Edge,120.0.0.0,Windows NT 10.0,1280x768,1.0,AI,8.0,14.045,61.0,2.0,,1.0,,1.0,,,AI
83,13924695846.0,13924695904.999998,0.0,100.0,58.0,1.0,13924695904.999998,R_6CycOQ2nEg57Ql3,anonymous,EN,,Chrome,120.0.0.0,Windows NT 10.0,1920x1080,1.0,Human,5.0,20.812,32.0,1.0,,1.0,,1.0,,,Human
84,13924695889.0,13924695914.0,0.0,100.0,24.0,1.0,13924695914.0,R_3PTviATL5EgGVhf,anonymous,EN,,Chrome,120.0.0.0,Windows NT 10.0,2560x1440,1.0,Human,7.0,5.303,29.0,1.0,,1.0,,1.0,,,Human
85,13924695763.0,13924695914.0,0.0,100.0,151.0,1.0,13924695915.0,R_1isDGpcr0Tpai3j,anonymous,EN,,Chrome,120.0.0.0,Windows NT 10.0,1920x1080,1.0,AI,9.0,125.451,31.0,1.0,,1.0,,1.0,,,AI
86,13924695884.0,13924695916.999998,0.0,100.0,32.0,1.0,13924695916.999998,R_1I5eJyhPaWnYwhw,anonymous,EN,,Firefox,121,Windows NT 10.0,1920x1080,1.0,Human,4.0,6.755,44.0,1.0,,1.0,,1.0,,,Human
87,13924695876.0,13924695933.0,0.0,100.0,56.0,1.0,13924695933.0,R_20Tn2pDBUfsCQEA,anonymous,EN,,Chrome,120.0.0.0,Windows NT 10.0,3440x1440,1.0,AI,9.0,24.834,46.0,1.0,,1.0,,1.0,,,AI
88,13924695780.0,13924695959.999998,0.0,100.0,180.0,1.0,13924695961.0,R_5uTDS7MNAeD2an2,anonymous,EN,,Chrome,120.0.0.0,Windows NT 10.0,1920x1080,1.0,AI,8.0,130.171,48.0,2.0,,1.0,,1.0,,,AI
89,13924695619.000002,13924695971.0,0.0,100.0,351.0,1.0,13924695972.000002,R_8prF8QbZVlMgeac,anonymous,EN,,Chrome,107.0.0.0,Windows NT 10.0,1680x1050,1.0,Human,6.0,252.972,21.0,1.0,,1.0,,1.0,,,Human
90,13924695925.000002,13924696014.0,0.0,100.0,88.0,1.0,13924696014.0,R_2t5XsfUAxMNSgOa,anonymous,EN,,Chrome,120.0.0.0,Windows NT 10.0,1536x864,1.0,AI,8.0,46.542,34.0,1.0,,1.0,,1.0,,,AI
91,13924695988.000002,13924696019.999998,0.0,100.0,32.0,1.0,13924696021.0,R_5X1zzvF1uXlUkT2,anonymous,EN,,Chrome,120.0.0.0,Windows NT 10.0,2560x1440,1.0,Human,3.0,9.748,34.0,1.0,,1.0,,1.0,,,Human
92,13924695993.999998,13924696036.0,0.0,100.0,41.0,1.0,13924696036.0,R_1qz2elnipHBxWRn,anonymous,EN,,Chrome,120.0.0.0,Windows NT 10.0,2560x1440,1.0,AI,7.0,12.514,25.0,1.0,,2.0,,1.0,,,AI
93,13924696014.0,13924696065.0,0.0,100.0,50.0,1.0,13924696065.0,R_7HwwywXA2J6QOgV,anonymous,EN,,Chrome,120.0.0.0,Windows NT 10.0,1920x1080,1.0,Human,6.0,13.544,23.0,1.0,,1.0,,1.0,,,Human
94,13924696015.000002,13924696087.0,0.0,100.0,72.0,1.0,13924696087.0,R_3jIFLHJASwVLw1Q,anonymous,EN,,Chrome,120.0.0.0,Windows NT 10.0,1923x941,1.0,AI,9.0,11.646,25.0,1.0,,1.0,,1.0,,,AI
95,13924695499.999998,13924696157.999998,0.0,100.0,657.0,1.0,13924696157.999998,R_7Qy1ImbZCJTkK4K,anonymous,EN,,Chrome,120.0.0.0,Macintosh,1680x1050,1.0,Human,3.0,11.295,19.0,1.0,,1.0,,1.0,,"The study was interesting, thank you for the study!",Human
96,13924696588.0,13924696664.0,0.0,100.0,75.0,1.0,13924696664.0,R_5tCJsDN4bykSHrX,anonymous,EN,,Chrome,120.0.0.0,Windows NT 10.0,1920x1080,1.0,AI,9.0,17.961,62.0,1.0,,1.0,,1.0,,,AI
97,13924696607.0,13924696803.0,0.0,100.0,195.0,1.0,13924696803.0,R_7d226doBZHslWSd,anonymous,EN,,Chrome,120.0.0.0,Windows NT 10.0,3440x1440,1.0,AI,9.0,5.713,20.0,1.0,,1.0,,1.0,,,AI
98,13924695934.0,13924696815.000002,0.0,100.0,881.0,1.0,13924696816.0,R_1fwVPLpOkLUDTCq,anonymous,EN,,Chrome,120.0.0.0,Windows NT 10.0,1920x1080,1.0,AI,6.0,858.64,30.0,2.0,,1.0,,1.0,,,AI
99,13924695876.0,13924696816.0,0.0,100.0,940.0,1.0,13924696817.0,R_6oBz7PnvppRjzBj,anonymous,EN,,Chrome,119.0.0.0,CrOS x86_64 14541.0.0,1366x768,1.0,Human,4.0,446.72,25.0,1.0,,1.0,,1.0,,,Human
