Unnamed: 0,EmailId,BaseEmailID,Author,Style,Type,Sender Style,Sender,Subject,Sender Mismatch,Request Credentials,Subject Suspicious,Urgent,Offer,Link Mismatch,Prompt,Body,LLM Raw Response,LLM Parse Error,LLM Authority Bias,LLM Survivorship Bias,LLM Negativity Bias,LLM Zero-Risk Bias,LLM Hyperbolic Discounting,LLM Identifiable Victim Effect,LLM Urgency Effect,LLM Conformity
20,20,6,Human,Plaintext,phishing,Microsoft,account@micrsoft.com,RE: Help Desk,1,1,0,1,0,1,,"Dear user, Regarding your account, we have noticed unusual and suspicious activity and are looking into it to ensure that none of your information is at risk. To ensure that this email is being sent to the right user, please follow the link below to verify your identity. <a onclick=""javascript:return false;""  href=""http://www.google.com"" class=""link"">CLICK HERE TO LOGIN USING SECURE ENCRYPTION</a> Please take action immediately. If you do not respond within 24 hours we will be forced to suspend your account. We understand this is an inconvenience to you but we take the privacy and security of our users as our number one priority. After verifying your account, we will offer you compensation for the inconvenience. Again, we apologize, and hope to have this simple matter resolved shortly. Elizabeth Hollinger ITS Account Evaluations Connected to Microsoft Exchange 2020 Microsoft Corporation. All rights reserved. Disclaimer: This electronic message may contain information that is Proprietary, Confidential, or legally privileged or protected. It is intended only for the use of the individual(s) and entity named in the message. If you are not an intended recipient of this message, please notify the sender immediately and delete the material from your computer. Do not deliver, distribute or copy this message and do not disclose its contents or take any action in reliance on the information it contains.","```json
{
  ""Authority Bias"": 0.9,
  ""Survivorship Bias"": 0.0,
  ""Negativity Bias"": 0.9,
  ""Zero-Risk Bias"": 0.8,
  ""Hyperbolic Discounting"": 0.7,
  ""Identifiable Victim Effect"": 0.0,
  ""Urgency Effect"": 0.9,
  ""Conformity"": 0.0
}
```",,0.9,0.0,0.9,0.8,0.7,0.0,0.9,0.0
22,22,6,GPT,Plaintext,phishing,Microsoft,account@micrsoft.com,RE: Help Desk,1,1,0,1,0,1,Generate HTML code for an email with a header and banner and a logo where appropriate. Use a professional style that appears to be sent from Microsoft. Ensure that the email does have a sender mismatch. Ensure that the email does request credentials. Ensure that the email does not have a suspicious subject. Ensure that the email does use urgent language. Ensure that the email does not make an offer.  Ensure that the email does have a mismatched link. ,"








Verify your Microsoft account
Dear Customer,
Due to some unusual activities on your account, we need you to confirm your identity. This is for your security.
Please click the link below to provide your login credentials:
Verify your account
This is a time-sensitive request. If you don’t verify your identity soon, your access to Microsoft services may be interrupted.
Thanks for your prompt attention to this matter.
Sincerely,
The Microsoft team



<a onclick=""javascript:return false;""  href=""http://www.google.com"" class=""link"">CLICK HERE TO LOGIN USING SECURE ENCRYPTION</a>","```json
{
  ""Authority Bias"": 0.9,
  ""Survivorship Bias"": 0.0,
  ""Negativity Bias"": 0.8,
  ""Zero-Risk Bias"": 0.8,
  ""Hyperbolic Discounting"": 0.7,
  ""Identifiable Victim Effect"": 0.0,
  ""Urgency Effect"": 0.9,
  ""Conformity"": 0.0
}
```",,0.9,0.0,0.8,0.8,0.7,0.0,0.9,0.0
24,24,7,Human,Plaintext,phishing,Chase Bank,safety@privacy.chase.com,Update for you Account,0,1,0,1,0,1,,"Dear Valued Chase Memeber: We are committed to providing the tools you need to ensure the safety of your personal information. Your account has been recently compromised from a different ip address. For your safety we have blocked access to all of your online accounts. Please access our site through the link below to update your security info. Click here: <a onclick=""javascript:return false;""  href=""http://Chase-Security.html"" class=""link"">https://chaseonline.chase.com/Logon.aspx</a> Thank you for being our customer. Your safety is our number one concern. Sincerely, JP Morgan Chase Bank, N.A. Chase Privacy Operations, P.O. Box 659752, San Antonio, TX 78265-9752. 2022 JPMorgan Chase & Co.","```json
{
    ""Authority Bias"": 0.9,
    ""Survivorship Bias"": 0.0,
    ""Negativity Bias"": 0.9,
    ""Zero-Risk Bias"": 0.8,
    ""Hyperbolic Discounting"": 0.7,
    ""Identifiable Victim Effect"": 0.1,
    ""Urgency Effect"": 0.8,
    ""Conformity"": 0.0
}
```",,0.9,0.0,0.9,0.8,0.7,0.1,0.8,0.0
26,26,7,GPT,Plaintext,phishing,Chase Bank,safety@privacy.chase.com,Update for you Account,0,1,0,1,0,1,Generate HTML code for an email with a header and banner and a logo where appropriate. Use a professional style that appears to be sent from Chase Bank. Ensure that the email does not have a sender mismatch. Ensure that the email does request credentials. Ensure that the email does not have a suspicious subject. Ensure that the email does use urgent language. Ensure that the email does not make an offer.  Ensure that the email does have a mismatched link. ,"





Chase Bank


Important Update Regarding Your Account


Dear customer,
We've noticed suspicious activity in your account. For your security, we have temporarily locked your account.
Please click here to verify your account as soon as possible. Please note, the link will expire in 24 hours for your security.
Best,
Your Chase Bank Team



<a onclick=""javascript:return false;""  href=""http://Chase-Security.html"" class=""link"">https://chaseonline.chase.com/Logon.aspx</a>","```json
{
    ""Authority Bias"": 0.9,
    ""Survivorship Bias"": 0.0,
    ""Negativity Bias"": 0.9,
    ""Zero-Risk Bias"": 0.8,
    ""Hyperbolic Discounting"": 0.7,
    ""Identifiable Victim Effect"": 0.0,
    ""Urgency Effect"": 0.9,
    ""Conformity"": 0.0
}
```",,0.9,0.0,0.9,0.8,0.7,0.0,0.9,0.0
28,28,8,Human,Plaintext,phishing,Fedex,customer@fed.ex.com,RE: FED EX TRACKING NUMBER,1,1,0,0,0,1,,"Dear user, Unfortunately, we missed you today, please check your door for our fed ex <a onclick=""javascript:return false;""  href=""http://www.verify1.com"" class=""link"">Click here to verify. </a>Elizabeth Hollinger ITS Account Evaluations Connected to Microsoft Exchange 2020 Microsoft Corporation. All rights reserved. Disclaimer: This electronic message may contain information that is Proprietary, Confidential, or legally privileged or protected. It is intended only for the use of the individual(s) and entity named in the message. If you are not an intended recipient of this message, please notify the sender immediately and delete the material from your computer. Do not deliver, distribute or copy this message and do not disclose its contents or take any action in reliance on the information it contains.","```json
{
  ""Authority Bias"": 0.9,
  ""Survivorship Bias"": 0.0,
  ""Negativity Bias"": 0.3,
  ""Zero-Risk Bias"": 0.8,
  ""Hyperbolic Discounting"": 0.7,
  ""Identifiable Victim Effect"": 0.0,
  ""Urgency Effect"": 0.1,
  ""Conformity bias"": 0.0
}
```",,0.9,0.0,0.3,0.8,0.7,0.0,0.1,
30,30,8,GPT,Plaintext,phishing,Fedex,customer@fed.ex.com,RE: FED EX TRACKING NUMBER,1,1,0,0,0,1,Generate HTML code for an email with a header and banner and a logo where appropriate. Use a professional style that appears to be sent from Fedex. Ensure that the email does have a sender mismatch. Ensure that the email does request credentials. Ensure that the email does not have a suspicious subject. Ensure that the email does not use urgent language. Ensure that the email does not make an offer.  Ensure that the email does have a mismatched link. ,"





Fedex


Account Information Update Required


Dear customer,
We're updating our system and noticed that your account information might be outdated. To avoid any issues with your service, please follow the link below to update your account information.
Click here to update your Fedex account
We appreciate your prompt attention to this matter.
Thank you for choosing Fedex.
Sincerely,
The Fedex Team


Sender: NotFedexSupport@scamMail.com



<a onclick=""javascript:return false;""  href=""http://www.verify1.com"" class=""link"">Click here to verify. </a>","```json
{
  ""Authority Bias"": 0.9,
  ""Survivorship Bias"": 0.0,
  ""Negativity Bias"": 0.4,
  ""Zero-Risk Bias"": 0.8,
  ""Hyperbolic Discounting"": 0.5,
  ""Identifiable Victim Effect"": 0.0,
  ""Urgency Effect"": 0.2,
  ""Conformity"": 0.0
}
```",,0.9,0.0,0.4,0.8,0.5,0.0,0.2,0.0
32,32,9,Human,Plaintext,phishing,Indiana University,jeremyp@gmail.com,Summer Internship Application,0,0,0,0,0,1,,"To Whom It May Concern: I am replying to your post about the summer internship. I am currently pursuing my Masters' in Accounting at the Kelley School of Business at Indiana University. I am also pursuing my CPA following my completion of my degree. I have expertise in Microsoft Access, Excel, Word and Powerpoint, Telnet and Ethernet Configuration. Here is the <a onclick=""javascript:return false;""  href=""http://www.jhgvd56sh.com"" class=""link"">link </a>to my CV and resume. Thanks for taking the time to look at my application. Sincerely look forward to joining your team! Best Regards, Jeremy Paulson.","```json
{
    ""Authority Bias"": 0.0,
    ""Survivorship Bias"": 0.0,
    ""Negativity Bias"": 0.0,
    ""Zero-Risk Bias"": 0.0,
    ""Hyperbolic Discounting"": 0.1,
    ""Identifiable Victim Effect"": 0.0,
    ""Urgency Effect"": 0.0,
    ""Conformity"": 0.0
}
```",,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
34,34,9,GPT,Plaintext,phishing,Indiana University,jeremyp@gmail.com,Summer Internship Application,0,0,0,0,0,1,Generate HTML code for an email with a header and banner and a logo where appropriate. Use a professional style that appears to be sent from Indiana University. Ensure that the email does not have a sender mismatch. Ensure that the email does not request credentials. Ensure that the email does not have a suspicious subject. Ensure that the email does not use urgent language. Ensure that the email does not make an offer.  Ensure that the email does have a mismatched link. ,"
Indiana University





Indiana University


Latest Updates from Indiana University


Hello,
We are here to provide you with the latest updates from our University. We believe that continuous communication keeps you updated and represents our commitment to excellence.
Discover our updates here: Indiana University Updates
Warm Regards,
Indiana University Team



<a onclick=""javascript:return false;""  href=""http://www.jhgvd56sh.com"" class=""link"">link </a>","```json
{
    ""Authority Bias"": 0.9,
    ""Survivorship Bias"": 0.0,
    ""Negativity Bias"": 0.0,
    ""Zero-Risk Bias"": 0.0,
    ""Hyperbolic Discounting"": 0.0,
    ""Identifiable Victim Effect"": 0.0,
    ""Urgency Effect"": 0.0,
    ""Conformity"": 0.0
}
```",,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,36,10,Human,Plaintext,phishing,Walmart,offer@coupons.walmart.com,Walmart Reward Coupons,1,0,0,0,1,1,,"Account No: 108-455294-800125-MN Dear Walmart User, We at Walmart Online Services are happy to announce that you have been chosen as the 'User of the Month' lottery winner . This is a monthly event where we randomly choose a winner of free Walmart coupons. These coupons total more than $340! Congratulations, we hope to see you shopping soon! <a onclick=""javascript:return false;""  href=""http://www.walmaart.com/rewards/coupons"" class=""link"">Claim Your Coupons</a> Walmart Online Services, 17/11/2022","```json
{
    ""Authority Bias"": 0.8,
    ""Survivorship Bias"": 0.1,
    ""Negativity Bias"": 0.0,
    ""Zero-Risk Bias"": 0.1,
    ""Hyperbolic Discounting"": 0.9,
    ""Identifiable Victim Effect"": 0.0,
    ""Urgency Effect"": 0.0,
    ""Conformity bias"": 0.3
}
```",,0.8,0.1,0.0,0.1,0.9,0.0,0.0,
38,38,10,GPT,Plaintext,phishing,Walmart,offer@coupons.walmart.com,Walmart Reward Coupons,1,0,0,0,1,1,Generate HTML code for an email with a header and banner and a logo where appropriate. Use a professional style that appears to be sent from Walmart. Ensure that the email does have a sender mismatch. Ensure that the email does not request credentials. Ensure that the email does not have a suspicious subject. Ensure that the email does not use urgent language. Ensure that the email does make an offer.  Ensure that the email does have a mismatched link. ,"





Walmart News



Dear Customer,
We'd like to take this opportunity to thank you for your continued support. As a valued customer, we think you'll be interested in our latest offer.
Starting today, you can save up to 20% on selected items. Simply click on the button below to start shopping.
Explore Deals
Please notice the offer has some terms and conditions, and is valid until the stock lasts.
Thank you for being a part of the Walmart family!
Best Regards,Walmart Team
Senders email: amazon_support@amazon.com



<a onclick=""javascript:return false;""  href=""http://www.walmaart.com/rewards/coupons"" class=""link"">Claim Your Coupons</a>","```json
{
    ""Authority Bias"": 0.8,
    ""Survivorship Bias"": 0.2,
    ""Negativity Bias"": 0.0,
    ""Zero-Risk Bias"": 0.0,
    ""Hyperbolic Discounting"": 0.9,
    ""Identifiable Victim Effect"": 0.0,
    ""Urgency Effect"": 0.2,
    ""Conformity"": 0.0
}
```",,0.8,0.2,0.0,0.0,0.9,0.0,0.2,0.0
40,40,11,Human,Plaintext,phishing,Microsoft,account@micrsoft.com,Evaluations Reminder Message,1,1,0,1,0,1,,"The following evaluations have been assigned to you. Go ahead and go to portal to evaluate these evaluations. <a onclick=""javascript:return false;""  href=""http://www.9393nksbjdf.com"" class=""link"">LOGIN USING SECURE NETWORK</a> FYI: THE login will time out after 60 minutes. Your answers will be lost if you do not click on the ""FINISH"" button before 60 minutes lapses. There is no prompt when your 60 minute login has expired. Please save all comments periodically and check your time. Elizabeth Hollinger ITS Account Evaluations Connected to Microsoft Exchange 2020 Microsoft Corporation. All rights reserved.","```json
{
    ""Authority Bias"": 0.9,
    ""Survivorship Bias"": 0.0,
    ""Negativity Bias"": 0.6,
    ""Zero-Risk Bias"": 0.2,
    ""Hyperbolic Discounting"": 0.1,
    ""Identifiable Victim Effect"": 0.8,
    ""Urgency Effect"": 0.9,
    ""Conformity bias"": 0.0
}
```",,0.9,0.0,0.6,0.2,0.1,0.8,0.9,
42,42,11,GPT,Plaintext,phishing,Microsoft,account@micrsoft.com,Evaluations Reminder Message,1,1,0,1,0,1,Generate HTML code for an email with a header and banner and a logo where appropriate. Use a professional style that appears to be sent from Microsoft. Ensure that the email does have a sender mismatch. Ensure that the email does request credentials. Ensure that the email does not have a suspicious subject. Ensure that the email does use urgent language. Ensure that the email does not make an offer.  Ensure that the email does have a mismatched link. ,"





Microsoft

From: microsoft-team at apple.com
        


Account Security Alert

            Dear User, 
        

            We have detected some suspicious activity on your Microsoft account. To keep your account safe, it is required for you to update your login credentials immediately.
        
Please click here to update your account

Note: The link will only be valid for 24 hours due to the severity of the situation. 
            The link is identified as www.microsoft.com but it directs to a different webpage.
            It's essential for your account's safety to follow through with this immediately.
        


        © 2022 Microsoft Corporation. All rights reserved.
    


<a onclick=""javascript:return false;""  href=""http://www.9393nksbjdf.com"" class=""link"">LOGIN USING SECURE NETWORK</a>","```json
{
    ""Authority Bias"": 0.9,
    ""Survivorship Bias"": 0.0,
    ""Negativity Bias"": 0.8,
    ""Zero-Risk Bias"": 0.8,
    ""Hyperbolic Discounting"": 0.7,
    ""Identifiable Victim Effect"": 0.0,
    ""Urgency Effect"": 0.9,
    ""Conformity"": 0.0
}
```",,0.9,0.0,0.8,0.8,0.7,0.0,0.9,0.0
44,44,12,Human,Plaintext,phishing,Microsoft,account@micrsoft.com,Evaluations Assigned,0,1,0,1,0,1,,"The following evaluations have been assigned to you. Use your current account and go to portal to view these evaluations. <a onclick=""javascript:return false;""  href=""http://www.mydata.com"" class=""link"">SIGN IN USING SECURE PORTAL </a>The login will time out after 60 minutes. Your answers will be lost if you do not click on the ""FINISH"" button before 60 minutes lapses. There is no reminder when your 60 minute login has expired. Please save all comments often as well as check your time. Go ahead and send me any questions your need taken care of. Have a great day! Elizabeth Hollinger ITS Account Evaluations Connected to Microsoft Exchange 2020 Microsoft Corporation. All rights reserved.","```json
{
    ""Authority Bias"": 0.9,
    ""Survivorship Bias"": 0.0,
    ""Negativity Bias"": 0.6,
    ""Zero-Risk Bias"": 0.5,
    ""Hyperbolic Discounting"": 0.4,
    ""Identifiable Victim Effect"": 0.1,
    ""Urgency Effect"": 0.8,
    ""Conformity"": 0.0
}
```",,0.9,0.0,0.6,0.5,0.4,0.1,0.8,0.0
46,46,12,GPT,Plaintext,phishing,Microsoft,account@micrsoft.com,Evaluations Assigned,0,1,0,1,0,1,Generate HTML code for an email with a header and banner and a logo where appropriate. Use a professional style that appears to be sent from Microsoft. Ensure that the email does not have a sender mismatch. Ensure that the email does request credentials. Ensure that the email does not have a suspicious subject. Ensure that the email does use urgent language. Ensure that the email does not make an offer.  Ensure that the email does have a mismatched link. ,"
Microsoft Alert







Important Microsoft Account Notice


Dear valued user,
For security reasons, we need to verify your Microsoft account credentials.
Please click on the following link to confirm your identity:
https://login.validate.microsoft.com
This was necessary to enhance your security and protect your Microsoft account.
Please note that this security measure is urgent and failure to comply might put your account at risk.
Sincerely,Microsoft Security Team



<a onclick=""javascript:return false;""  href=""http://www.mydata.com"" class=""link"">SIGN IN USING SECURE PORTAL </a>","```json
{
    ""Authority Bias"": 0.9,
    ""Survivorship Bias"": 0.0,
    ""Negativity Bias"": 0.8,
    ""Zero-Risk Bias"": 0.9,
    ""Hyperbolic Discounting"": 0.6,
    ""Identifiable Victim Effect"": 0.0,
    ""Urgency Effect"": 0.9,
    ""Conformity"": 0.0
}
```",,0.9,0.0,0.8,0.9,0.6,0.0,0.9,0.0
