Unnamed: 0,EmailId,BaseEmailID,Author,Style,Type,Sender Style,Sender,Subject,Sender Mismatch,Request Credentials,Subject Suspicious,Urgent,Offer,Link Mismatch,Prompt,Body,LLM Raw Response,LLM Parse Error,LLM Authority bias,LLM Scarcity bias,LLM Urgency bias,LLM Anchoring effect,LLM Conformity bias,LLM Overconfidence,LLM Familiarity bias,SelectedEmailType,SelectionMethod
1382,1382,345,GPT,Plaintext,ham,Law and Itentity Theft,cabrera@lawandidentitytheft.com,Help Us End Identity Theft,0,0,0,0,0,0,Generate HTML code for an email with a header and banner and a logo where appropriate. Use a professional style that appears to be sent from Law and Itentity Theft. Ensure that the email does not have a sender mismatch. Ensure that the email does not request credentials. Ensure that the email does not have a suspicious subject. Ensure that the email does not use urgent language. Ensure that the email does not make an offer.  Ensure that the email does not have a mismatched link. ,"
Email Template: Law and Identity Theft Education





Law and Identity Theft


        Be Informed, Be Safe, Be Secure
    

Hello,
We are contacting you from Law and Identity Theft with some resources and information to help protect you from identity theft and its related issues. For more information, please visit our website.
Please note, we will not ask for your personal credentials via email. Always remember to verify the source before providing sensitive information online.
Sincerely,
The Law and Identity Theft Team



<a onclick=""javascript:return false;""  href=""http://www.lawandidentitytheft.com/info/"" class=""link"">visit our webpage</a>","```json
{
  ""Authority bias"": 0.2,
  ""Scarcity bias"": 0.0,
  ""Urgency bias"": 0.0,
  ""Anchoring effect bias"": 0.0,
  ""Conformity bias"": 0.0,
  ""Overconfidence bias"": 0.0,
  ""Familiarity bias"": 0.0
}
```",,0.2,0.0,0.0,,0.0,0,0.0,ham,balanced_single_and_pair_presence
870,870,217,GPT,Plaintext,ham,Attack IQ,events@attackiq.com,Mapping Defensive Capabilities to Adversary Behavior: Thank you for registering - Here is your confirmation,0,0,0,0,0,0,Generate HTML code for an email with a header and banner and a logo where appropriate. Use a professional style that appears to be sent from Attack IQ. Ensure that the email does not have a sender mismatch. Ensure that the email does not request credentials. Ensure that the email does not have a suspicious subject. Ensure that the email does not use urgent language. Ensure that the email does not make an offer.  Ensure that the email does not have a mismatched link. ,"
Email from Attack IQ







Welcome to Attack IQ!


Dear [User's Name],
Thank you for joining us at Attack IQ! We welcome you to our family and hope our professional relationship will be both beneficial and enlightening.
We understand you may have many questions, hence, we encourage you to explore our website in-depth to learn more about our products and services. 
If you need assistance, feel free to contact our team at info@attackiq.com.
Best Regards,
The Attack IQ Team



<a onclick=""javascript:return false;""  href=""https://global.gotowebinar.com/join/7024422845210942977/917482965"" class=""link"">https://global.gotowebinar.com/join/7024422845210942977/917482965</a>","```json
{
  ""Authority bias"": 0.0,
  ""Scarcity bias"": 0.0,
  ""Urgency bias"": 0.0,
  ""Anchoring effect bias"": 0.1,
  ""Conformity bias"": 0.1,
  ""Overconfidence bias"": 0.0,
  ""Familiarity bias"": 0.0
}
```",,0.0,0.0,0.0,,0.1,0,0.0,ham,balanced_single_and_pair_presence
1246,1246,311,GPT,Plaintext,ham,A Personal Email,cmcdaniel@gmail.com,Tucson Art Show,0,0,0,0,0,0,Generate HTML code for an email with a header and banner and a logo where appropriate. Use a professional style that appears to be sent from A Personal Email. Ensure that the email does not have a sender mismatch. Ensure that the email does not request credentials. Ensure that the email does not have a suspicious subject. Ensure that the email does not use urgent language. Ensure that the email does not make an offer.  Ensure that the email does not have a mismatched link. ,"
A Personal Email








Dear Recipient,
This message is to inform you about minor changes in our terms of service.
Please visit <a onclick=""javascript:return false;""  href=""http://www.tucsonartshow.com/about/"" class=""link"">our website</a> for detailed information.
Thank You
With Regards,
A Personal Email


","```json
{
    ""Authority bias bias"": 0.0,
    ""Scarcity bias bias"": 0.0,
    ""Urgency bias bias"": 0.0,
    ""Anchoring effect bias"": 0.0,
    ""Conformity bias bias"": 0.0,
    ""Overconfidence bias"": 0.0,
    ""Familiarity bias bias"": 0.1
}
```",,,,,,,0,,ham,balanced_single_and_pair_presence
1396,1396,349,Human,Plaintext,ham,Kersey Law,odavis@kerseylaw.com,Kersey Law ,0,0,0,0,0,0,,"Hello, We are aware that you missed your recent court date and now have a bench warrant issued for your arrest. We are here for you and would like to assist you in court to help mitigate further consequences. If you would like more information on how we can help, <a onclick=""javascript:return false;""  href=""http://kerseylaw.com/criminaldefense-immigration/"" class=""link"">visit our homepage</a>. Sincerely, Oscar Davis Kersey Law","```python
{
  ""Authority bias"": 0.9,
  ""Scarcity bias"": 0.0,
  ""Urgency bias"": 0.8,
  ""Anchoring effect bias"": 0.0,
  ""Conformity bias"": 0.0,
  ""Overconfidence bias"": 0.0,
  ""Familiarity bias"": 0.0
}
```",,0.9,0.0,0.8,,0.0,0,0.0,ham,balanced_single_and_pair_presence
1418,1418,354,GPT,Plaintext,ham,Weilys Texbooks,admin@weilystexbooks.com,Free Shipping On Next Purchase,0,0,0,0,0,0,Generate HTML code for an email with a header and banner and a logo where appropriate. Use a professional style that appears to be sent from Weilys Texbooks. Ensure that the email does not have a sender mismatch. Ensure that the email does not request credentials. Ensure that the email does not have a suspicious subject. Ensure that the email does not use urgent language. Ensure that the email does not make an offer.  Ensure that the email does not have a mismatched link. ,"





Weily's Textbooks



Hello Customer,
We hope that you are enjoying your time with Weily's Textbooks. This email is just a friendly notice about the recent updates on our end.
Feel free to explore our website for any new textbooks or resources.
Kind regards,
The Weily's Textbooks Team



<a onclick=""javascript:return false;""  href=""http://www.weilystexbooks.com/freeshipping/"" class=""link"">Click Here</a>","```json
{
  ""Authority bias"": 0.0,
  ""Scarcity bias"": 0.0,
  ""Urgency bias"": 0.0,
  ""Anchoring effect bias"": 0.0,
  ""Conformity bias"": 0.0,
  ""Overconfidence bias"": 0.0,
  ""Familiarity bias"": 0.6
}
```",,0.0,0.0,0.0,,0.0,0,0.6,ham,balanced_single_and_pair_presence
1376,1376,344,Human,Plaintext,ham,Credit Debit Fraud Law,rprice@creditdebitfraudlaw.com,Credit Card/Debit Card Fraud Research Participation,0,0,0,0,0,0,,"Dear John, Credit card and debit card fraud rates are increasing in Arizona. If you personally have been a victim or if you would like to learn how to avoid being a victim, you may want to consider being a participant in our study. At Price Law Firm we are conducting research on credit card and debit card fraud victims. If you would like to see how you can contribute to this study, please <a onclick=""javascript:return false;""  href=""http://creditdebitfraudlaw.com/study-research-info/"" class=""link"">visit our webpage</a>. Thank you, Robert Price Price Law Firm","```json
{
  ""Authority bias"": 0.3,
  ""Scarcity bias"": 0.0,
  ""Urgency bias"": 0.0,
  ""Anchoring effect bias"": 0.0,
  ""Conformity bias"": 0.0,
  ""Overconfidence bias"": 0.1,
  ""Familiarity bias"": 0.0
}
```",,0.3,0.0,0.0,,0.0,1,0.0,ham,balanced_single_and_pair_presence
814,814,203,GPT,Plaintext,ham,A Personal Email,pittsburgh@escapetheroom.com,Spice Up Your Valentine's Day Plans At Escape The Room,0,0,0,0,0,0,Generate HTML code for an email with a header and banner and a logo where appropriate. Use a professional style that appears to be sent from A Personal Email. Ensure that the email does not have a sender mismatch. Ensure that the email does not request credentials. Ensure that the email does not have a suspicious subject. Ensure that the email does not use urgent language. Ensure that the email does not make an offer.  Ensure that the email does not have a mismatched link. ,"
Email from A Personal Email





A Personal Email



Hello,
We hope this email finds you well. We have some updates that you might find interesting. Our team has been working diligently to improve your experience with A Personal Email. We have made a few updates to our system, stay tuned for further details in our upcoming communications.
Regards,
A Personal Email Team
Note: This is a system generated email, please do not reply to this email.



<a onclick=""javascript:return false;""  href=""https://www.escapetheroom.com"" class=""link"">https://escapetheroom.com/pittsburgh/</a>","```json
{
  ""Authority bias"": 0.0,
  ""Scarcity bias"": 0.2,
  ""Urgency bias"": 0.0,
  ""Anchoring effect bias"": 0.0,
  ""Conformity bias"": 0.0,
  ""Overconfidence bias"": 0.0,
  ""Familiarity bias"": 0.4
}
```",,0.0,0.2,0.0,,0.0,0,0.4,ham,balanced_single_and_pair_presence
1380,1380,345,Human,Plaintext,ham,Law and Itentity Theft,cabrera@lawandidentitytheft.com,Help Us End Identity Theft,0,0,0,0,0,0,,"Dear Jane, My name is Alison Cabrera from Cabrera Law Firm. We are working together to raise awareness about identity theft. If you have been a victim of identity theft, or if you would like to know how to put an end to it please <a onclick=""javascript:return false;""  href=""http://www.lawandidentitytheft.com/info/"" class=""link"">visit our webpage</a>. With your help we can raise awareness about identity theft! Thank you, Alison Cabrera","```json
{
  ""Authority bias"": 0.8,
  ""Scarcity bias"": 0.0,
  ""Urgency bias"": 0.0,
  ""Anchoring effect bias"": 0.0,
  ""Conformity bias"": 0.3,
  ""Overconfidence bias"": 0.0,
  ""Familiarity bias"": 0.0
}
```",,0.8,0.0,0.0,,0.3,0,0.0,ham,balanced_single_and_pair_presence
1334,1334,333,GPT,Plaintext,ham,Everyday Fitness,wperez@everydayfitness.com,Everyday Fitness has a new location,0,0,0,0,0,0,Generate HTML code for an email with a header and banner and a logo where appropriate. Use a professional style that appears to be sent from Everyday Fitness. Ensure that the email does not have a sender mismatch. Ensure that the email does not request credentials. Ensure that the email does not have a suspicious subject. Ensure that the email does not use urgent language. Ensure that the email does not make an offer.  Ensure that the email does not have a mismatched link. ,"
Everyday Fitness






Everyday Fitness



Hello, Fitness Enthusiast!
We hope this email finds you in good health. We're reaching out to keep you updated on our latest exercise routines and diet plans.
If you need any support or have any queries, don't hesitate to reach us at info@everydayfitness.com.
Keep on pushing, and happy exercising!
Everyday Fitness Team




<a onclick=""javascript:return false;""  href=""http://www.everydayfitness.com/membership-signup/"" class=""link"">Visit our homepage</a>","```json
{
  ""Authority bias"": 0.0,
  ""Scarcity bias"": 0.0,
  ""Urgency bias"": 0.0,
  ""Anchoring effect bias"": 0.0,
  ""Conformity bias"": 0.0,
  ""Overconfidence bias"": 0.0,
  ""Familiarity bias"": 0.2
}
```",,0.0,0.0,0.0,,0.0,0,0.2,ham,balanced_single_and_pair_presence
1388,1388,347,Human,Plaintext,ham,Parental Law,scollins@parientelawfirm.com,We Want to Help You,0,0,0,0,0,0,,"Hello, Have you been charged with a DUI? If you have, you are not alone. Thousands of others have turned to us for help with their case and we are here to help you too. Visit our homepage for more information. Sincerely, Stephanie Collins
<a onclick=""javascript:return false;""  href=""http://www.parientelawfirm.com/dui-legal/"" class=""link"">visit our homepage</a>","```json
{
  ""Authority bias"": 0.1,
  ""Scarcity bias"": 0.0,
  ""Urgency bias"": 0.0,
  ""Anchoring effect bias"": 0.0,
  ""Conformity bias"": 0.8,
  ""Overconfidence bias"": 0.0,
  ""Familiarity bias"": 0.0
}
```",,0.1,0.0,0.0,,0.8,0,0.0,ham,balanced_single_and_pair_presence
812,812,203,Human,Plaintext,ham,A Personal Email,pittsburgh@escapetheroom.com,Spice Up Your Valentine's Day Plans At Escape The Room,0,0,0,0,0,0,,"Add An Escape To Date Night This Year Dig Escape The Room Enhance The Valentine's Day Experience Booking a room with Escape the Room is the perfect addition to Valentine's Day (especially if you haven't planned it yet). Only 60 minutes is needed to fit it into your night of fun and romance. Whether you've been married for 30 years or just starting to build your romance, our escape rooms are perfect for you and your significant other to change the normal date night into something memorable and exciting. BOOK NOW <a onclick=""javascript:return false;""  href=""https://www.escapetheroom.com"" class=""link"">https://escapetheroom.com/pittsburgh/</a>","```json
{
  ""Authority bias bias"": 0.0,
  ""Scarcity bias bias"": 0.1,
  ""Urgency bias bias"": 0.2,
  ""Anchoring effect bias"": 0.2,
  ""Conformity bias"": 0.0,
  ""Overconfidence bias"": 0.0,
  ""Familiarity bias"": 0.4
}
```",,,,,,0.0,0,0.4,ham,balanced_single_and_pair_presence
1284,1284,321,Human,Plaintext,ham,Tuscon Drinks,stevens@tucsondrinks.com,Tucson Drinks!,0,0,0,0,0,0,,"Dear John, My name is Amanda, and I am writing you as an invitation to Tucson Drinks! We are a wine-tasting club based in Tucson, Arizona. I believe you would be a great fit for our club based on your previous working experiences in a winery. If you wish to share your love of wine with us, please <a onclick=""javascript:return false;""  href=""http://www.tucsondrinks.com/about/new/"" class=""link"">sign up here</a>. We hope to hear from you soon! Sincerely, Amanda Stevens Recruitment, Tucson Drinks! Tucson, Arizona 85641","```json
{
  ""Authority bias"": 0.0,
  ""Scarcity bias"": 0.0,
  ""Urgency bias"": 0.0,
  ""Anchoring effect bias"": 0.0,
  ""Conformity bias"": 0.0,
  ""Overconfidence bias"": 0.1,
  ""Familiarity bias"": 0.5
}
```",,0.0,0.0,0.0,,0.0,1,0.5,ham,balanced_single_and_pair_presence
952,952,238,Human,Plaintext,ham,Secarmour Security,security_awareness@secarmour.com,January Meeting: 2023,0,0,0,0,0,0,,"Hi Olivia, Deep Dive: 2023 State of the Security Report We're gearing up to release our 2023 State of the Phishing Report on January 22. Join us on January 29 for a deep dive into the data from our newest report. This report analyzes data from tens of millions of simulated phishing attacks sent through Secarmour's Security Education Platform over a 12-month period, and an extensive survey of our database of infosec professionals on their experience with simulated and real attacks. We've also surveyed thousands of end users in the US, UK, France, Germany, Italy, Australia, and Japan, measuring their knowledge and behavior around phishing, ransomware, and more. January Wisdom Insiders Meeting | Tuesday, January 29, 2023, 11 a.m. - 12 p.m. ET <a onclick=""javascript:return false;""  href=""http://wisdom.meeting/registration"" class=""link"">Register Now</a> Sincerely, Secarmour Security","```json
{
  ""Authority bias"": 0.6,
  ""Scarcity bias"": 0.0,
  ""Urgency bias"": 0.1,
  ""Anchoring effect bias"": 0.1,
  ""Conformity bias"": 0.4,
  ""Overconfidence bias"": 0.2,
  ""Familiarity bias"": 0.7
}
```",,0.6,0.0,0.1,,0.4,1,0.7,ham,balanced_single_and_pair_presence
1164,1164,291,Human,Plaintext,ham,Inside Insights,jrichards@insideinsights.com,Free Trial of our Newsletter,0,0,0,0,0,0,,"Dear John, You are receiving this email because your friend Jane recommended our publication! Collect your free February edition of our new political newsletter inside Insights. In America's political landscape, it is getting increasingly harder to assess the credibility of certain news sources for accuracy and unpartisan reporting. This is why many people are turning to our monthly newsletter inside Insight. We want you to experience our publication and the convenience of unbiased news by offering you a free trial of our publication. <a onclick=""javascript:return false;""  href=""http://www.insideinsights.com/promotion/"" class=""link"">CLICK HERE</a>. You can cancel at any time without any financial stipulations! Thank you, Jim Richards Chief Editor, Inside Insights El Paso, Texas","```json
{
  ""Authority bias"": 0.5,
  ""Scarcity bias"": 0.2,
  ""Urgency bias"": 0.0,
  ""Anchoring effect bias"": 0.0,
  ""Conformity bias"": 0.8,
  ""Overconfidence bias"": 0.4,
  ""Familiarity bias"": 0.9
}
```",,0.5,0.2,0.0,,0.8,1,0.9,ham,balanced_single_and_pair_presence
1176,1176,294,Human,Plaintext,ham,A Personal Email,jsmith@gmail.com,Secure your Home with Nightwatch!,0,0,0,0,0,0,,"Jane, Protect your home and neighbors with our award-winning home security program. At Nightwatch Co., we are devoted to ensuring the safety of thousands of neighborhoods in America. With our latest home protection technology, you can sleep well knowing your home is safe against domestic threats. Visit <a onclick=""javascript:return false;""  href=""http://www.nightwatch.com/home/securityprogram/"" class=""link"">this link</a> to receive 55% off our home security program. This offer will expire in five days, however, so do not miss out! Thank you, John Smith President, Nightwatch Co. Anaheim, California","```json
{
    ""Authority bias bias"": 0.4,
    ""Scarcity bias bias"": 0.8,
    ""Urgency bias bias"": 0.1,
    ""Anchoring effect bias"": 0.2,
    ""Conformity bias bias"": 0.5,
    ""Overconfidence bias"": 0.0,
    ""Familiarity bias bias"": 0.1
}
```",,,,,,,0,,ham,balanced_single_and_pair_presence
1450,1450,362,GPT,Plaintext,ham,Chestnut,vkennedy@chestnut.com,Free gift card just for you!,0,0,0,0,0,0,Generate HTML code for an email with a header and banner and a logo where appropriate. Use a professional style that appears to be sent from Chestnut. Ensure that the email does not have a sender mismatch. Ensure that the email does not request credentials. Ensure that the email does not have a suspicious subject. Ensure that the email does not use urgent language. Ensure that the email does not make an offer.  Ensure that the email does not have a mismatched link. ,"









Greetings from Chestnut!

                Hello there!
            

                You're receiving this email because you've shown interest in Chestnut and its services. 
                We appreciate your interest and would like to take you on a journey of exploring more about our offerings - in your own time and space - without rushing. 
            

                Please feel free, at your convenience, to navigate through our website and learn more about the possibilities with Chestnut.
            

                Best Regards, 
The Chestnut Team





                   Visit our Website
               




<a onclick=""javascript:return false;""  href=""http://www.chestnut.com/valuedcustomer-giftcard/"" class=""link"">click here</a>","```json
{
  ""Authority bias bias"": 0.0,
  ""Scarcity bias bias"": 0.0,
  ""Urgency bias bias"": 0.0,
  ""Anchoring effect bias"": 0.0,
  ""Conformity bias bias"": 0.0,
  ""Overconfidence bias"": 0.0,
  ""Familiarity bias bias"": 0.3
}
```",,,,,,,0,,ham,balanced_single_and_pair_presence
