Unnamed: 0,text,Authority Bias,Survivorship Bias,Pessimism Bias,Zero-Risk Bias,Hyperbolic Discounting,Identifiable Victim Effect,Appeal to Novelty,Urgency Effect,Curiosity,Conformity,text_translated,Language,Body,LLM Raw Response,LLM Parse Error,LLM Authority Bias,LLM Survivorship Bias,LLM Pessimism Bias,LLM Zero-Risk Bias,LLM Hyperbolic Discounting,LLM Identifiable Victim Effect,LLM Appeal to Novelty,LLM Urgency Effect,LLM Curiosity,LLM Conformity,LLM Blocked,LLM Block Reason
5,18. 解锁女性G点的秘诀http://www.shinemade.com,0,0,0,0,0,0,0,0,1,0,18. The secret to unlocking women's G-spots www.shinemade.com,English,18. The secret to unlocking women's G-spots www.shinemade.com,"```json
{
  ""Authority Bias"": 0.0,
  ""Survivorship Bias"": 0.0,
  ""Pessimism Bias"": 0.0,
  ""Zero-Risk Bias"": 0.0,
  ""Hyperbolic Discounting"": 0.4,
  ""Identifiable Victim Effect"": 0.0,
  ""Appeal to Novelty"": 0.9,
  ""Urgency Effect"": 0.0,
  ""Curiosity"": 1.0,
  ""Conformity"": 0.0
}
```",,0.0,0.0,0.0,0.0,0.4,0.0,0.9,0.0,1.0,0.0,,
6,19. 您选择的领域提供Bacheelor、MasteerMBA和博士学位，这是正确的，您甚至可以成为一名博士并获得随之而来的所有福利！我们的文凭/证书在大多数国家/地区得到认可无需考试、测试、课程、书籍或面试。**没有人被拒绝 ** 确保保密每天24小时、每周7天致电美国：1-781-634- 7970美国境外：+1-781 - 634-7970“只需在邮件中留下您的姓名和电话号码（含国家代码）”我们的工作人员将在未来几天内回复您,0,0,0,1,0,0,0,0,0,1,"19. The field you choose offers Bacheelor, Master MBA and PhD degrees, which is right, you can even become a PhD and receive all the benefits that come with it! Our diplomas/certificates are recognized in most countries without exams, tests, courses, books or interviews. ** No one has been refused ** Ensure confidentiality Call the United States 24 hours a day, 7 days a week: 1-781-634- 7970 Outside the United States: +1-781 - 634-7970 ""Just leave your name and phone number (including country code) in the email"" Our staff will respond to you in the next few days",Chinese,19. 您选择的领域提供Bacheelor、MasteerMBA和博士学位，这是正确的，您甚至可以成为一名博士并获得随之而来的所有福利！我们的文凭/证书在大多数国家/地区得到认可无需考试、测试、课程、书籍或面试。**没有人被拒绝 ** 确保保密每天24小时、每周7天致电美国：1-781-634- 7970美国境外：+1-781 - 634-7970“只需在邮件中留下您的姓名和电话号码（含国家代码）”我们的工作人员将在未来几天内回复您,"```json
{
    ""Authority Bias"": 0.2,
    ""Survivorship Bias"": 0.0,
    ""Pessimism Bias"": 0.0,
    ""Zero-Risk Bias"": 0.9,
    ""Hyperbolic Discounting"": 0.9,
    ""Identifiable Victim Effect"": 0.0,
    ""Appeal to Novelty"": 0.1,
    ""Urgency Effect"": 0.0,
    ""Curiosity"": 0.1,
    ""Conformity"": 0.8
}
```",,0.2,0.0,0.0,0.9,0.9,0.0,0.1,0.0,0.1,0.8,,
6,19. 您选择的领域提供Bacheelor、MasteerMBA和博士学位，这是正确的，您甚至可以成为一名博士并获得随之而来的所有福利！我们的文凭/证书在大多数国家/地区得到认可无需考试、测试、课程、书籍或面试。**没有人被拒绝 ** 确保保密每天24小时、每周7天致电美国：1-781-634- 7970美国境外：+1-781 - 634-7970“只需在邮件中留下您的姓名和电话号码（含国家代码）”我们的工作人员将在未来几天内回复您,0,0,0,1,0,0,0,0,0,1,"19. The field you choose offers Bacheelor, Master MBA and PhD degrees, which is right, you can even become a PhD and receive all the benefits that come with it! Our diplomas/certificates are recognized in most countries without exams, tests, courses, books or interviews. ** No one has been refused ** Ensure confidentiality Call the United States 24 hours a day, 7 days a week: 1-781-634- 7970 Outside the United States: +1-781 - 634-7970 ""Just leave your name and phone number (including country code) in the email"" Our staff will respond to you in the next few days",English,"19. The field you choose offers Bacheelor, Master MBA and PhD degrees, which is right, you can even become a PhD and receive all the benefits that come with it! Our diplomas/certificates are recognized in most countries without exams, tests, courses, books or interviews. ** No one has been refused ** Ensure confidentiality Call the United States 24 hours a day, 7 days a week: 1-781-634- 7970 Outside the United States: +1-781 - 634-7970 ""Just leave your name and phone number (including country code) in the email"" Our staff will respond to you in the next few days","```json
{
  ""Authority Bias"": 0.2,
  ""Survivorship Bias"": 0.0,
  ""Pessimism Bias"": 0.0,
  ""Zero-Risk Bias"": 0.8,
  ""Hyperbolic Discounting"": 0.7,
  ""Identifiable Victim Effect"": 0.0,
  ""Appeal to Novelty"": 0.1,
  ""Urgency Effect"": 0.0,
  ""Curiosity bias"": 0.1,
  ""Conformity bias"": 0.8
}
```",,0.2,0.0,0.0,0.8,0.7,0.0,0.1,0.0,,,,
7,21. 最大的药物产品选择。我们与最好的生产商合作，提供最好的在线药剂师服务。在这里！fLreadlink exmeridine欧元区欧元区febrifugal expresssedexposerriez fedezio endronfBtgetflag factive欧元区,0,0,0,0,0,0,1,0,0,0,21. The largest drug product choice. We work with the best manufacturers to provide the best online pharmacist services. Here it is! fLreadlink exmeridine Eurozone Febrifugal expresssedexposerriez fedezio endronfBtgetflag active Eurozone,Chinese,21. 最大的药物产品选择。我们与最好的生产商合作，提供最好的在线药剂师服务。在这里！fLreadlink exmeridine欧元区欧元区febrifugal expresssedexposerriez fedezio endronfBtgetflag factive欧元区,"```json
{
  ""Authority Bias"": 0.2,
  ""Survivorship Bias"": 0.0,
  ""Pessimism Bias"": 0.0,
  ""Zero-Risk Bias"": 0.0,
  ""Hyperbolic Discounting"": 0.4,
  ""Identifiable Victim Effect"": 0.0,
  ""Appeal to Novelty"": 0.0,
  ""Urgency Effect"": 0.0,
  ""Curiosity"": 0.5,
  ""Conformity"": 0.0
}
```",,0.2,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.5,0.0,,
7,21. 最大的药物产品选择。我们与最好的生产商合作，提供最好的在线药剂师服务。在这里！fLreadlink exmeridine欧元区欧元区febrifugal expresssedexposerriez fedezio endronfBtgetflag factive欧元区,0,0,0,0,0,0,1,0,0,0,21. The largest drug product choice. We work with the best manufacturers to provide the best online pharmacist services. Here it is! fLreadlink exmeridine Eurozone Febrifugal expresssedexposerriez fedezio endronfBtgetflag active Eurozone,English,21. The largest drug product choice. We work with the best manufacturers to provide the best online pharmacist services. Here it is! fLreadlink exmeridine Eurozone Febrifugal expresssedexposerriez fedezio endronfBtgetflag active Eurozone,"```python
{
""Authority Bias"": 0.2,
""Survivorship Bias"": 0.0,
""Pessimism Bias"": 0.0,
""Zero-Risk Bias"": 0.0,
""Hyperbolic Discounting"": 0.1,
""Identifiable Victim Effect"": 0.0,
""Appeal to Novelty"": 0.0,
""Urgency Effect"": 0.0,
""Curiosity"": 0.2,
""Conformity"": 0.0
}
```",,0.2,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.2,0.0,,
8,27.          给你所爱的人送一份礼物，帮助他/她以相对简单和安全的方式戒烟。订购LiveFree防吸烟贴片，这是一种具有治疗功效的不含尼古丁的草药产品。为您所爱的人订购这款防吸烟贴片。,0,0,0,1,0,0,0,0,0,0,"27.          Give your loved one a gift to help him or her quit smoking in a relatively simple and safe way. Order LiveFree Anti-Smoking Patch, a therapeutic nicotine-free herbal product. Order this anti-smoking patch for your loved ones.",Chinese,27.          给你所爱的人送一份礼物，帮助他/她以相对简单和安全的方式戒烟。订购LiveFree防吸烟贴片，这是一种具有治疗功效的不含尼古丁的草药产品。为您所爱的人订购这款防吸烟贴片。,"```json
{
  ""Authority Bias"": 0.0,
  ""Survivorship Bias"": 0.0,
  ""Pessimism Bias"": 0.1,
  ""Zero-Risk Bias"": 0.7,
  ""Hyperbolic Discounting"": 0.2,
  ""Identifiable Victim Effect"": 0.9,
  ""Appeal to Novelty"": 0.0,
  ""Urgency Effect"": 0.0,
  ""Curiosity bias"": 0.0,
  ""Conformity bias"": 0.0
}
```",,0.0,0.0,0.1,0.7,0.2,0.9,0.0,0.0,,,,
8,27.          给你所爱的人送一份礼物，帮助他/她以相对简单和安全的方式戒烟。订购LiveFree防吸烟贴片，这是一种具有治疗功效的不含尼古丁的草药产品。为您所爱的人订购这款防吸烟贴片。,0,0,0,1,0,0,0,0,0,0,"27.          Give your loved one a gift to help him or her quit smoking in a relatively simple and safe way. Order LiveFree Anti-Smoking Patch, a therapeutic nicotine-free herbal product. Order this anti-smoking patch for your loved ones.",English,"27.          Give your loved one a gift to help him or her quit smoking in a relatively simple and safe way. Order LiveFree Anti-Smoking Patch, a therapeutic nicotine-free herbal product. Order this anti-smoking patch for your loved ones.","```json
{
  ""Authority Bias"": 0.0,
  ""Survivorship Bias"": 0.0,
  ""Pessimism Bias"": 0.0,
  ""Zero-Risk Bias"": 0.2,
  ""Hyperbolic Discounting"": 0.0,
  ""The Identifiable Victim Effect"": 0.9,
  ""Appeal to Novelty"": 0.0,
  ""The Urgency Effect"": 0.0,
  ""Curiosity"": 0.0,
  ""Conformity"": 0.0
}
```",,0.0,0.0,0.0,0.2,0.0,,0.0,,0.0,0.0,,
9,34. 在沙发上放松身心，享受扑克、二十一点、轮盘赌、渐进式视频老虎机的乐趣。当您开始看到资金涌入时，我们安全可靠的游戏会让您微笑。我们对乐趣是认真的。当你赢了，我们就赢了！我们为你工作，我们付钱！你玩！  http://casinojackpotsdeals.com www.example.com/,0,0,0,1,0,0,0,0,1,0,"34. Relax on the sofa and enjoy poker, blackjack, roulette, progressive video slots. When you start seeing money pouring in, our safe and reliable games will make you smile. We take fun seriously. When you win, we win! We work for you, we pay! You play!  http://casinojackpotsdeals.com www.example.com/",Chinese,34. 在沙发上放松身心，享受扑克、二十一点、轮盘赌、渐进式视频老虎机的乐趣。当您开始看到资金涌入时，我们安全可靠的游戏会让您微笑。我们对乐趣是认真的。当你赢了，我们就赢了！我们为你工作，我们付钱！你玩！  http://casinojackpotsdeals.com www.example.com/,"```json
{
  ""Authority Bias"": 0.1,
  ""Survivorship Bias"": 0.0,
  ""Pessimism Bias"": 0.0,
  ""Zero-Risk Bias"": 0.1,
  ""Hyperbolic Discounting"": 0.9,
  ""Identifiable Victim Effect"": 0.0,
  ""Appeal to Novelty"": 0.0,
  ""Urgency Effect"": 0.0,
  ""Curiosity bias"": 0.3,
  ""Conformity bias"": 0.0
}
```",,0.1,0.0,0.0,0.1,0.9,0.0,0.0,0.0,,,,
9,34. 在沙发上放松身心，享受扑克、二十一点、轮盘赌、渐进式视频老虎机的乐趣。当您开始看到资金涌入时，我们安全可靠的游戏会让您微笑。我们对乐趣是认真的。当你赢了，我们就赢了！我们为你工作，我们付钱！你玩！  http://casinojackpotsdeals.com www.example.com/,0,0,0,1,0,0,0,0,1,0,"34. Relax on the sofa and enjoy poker, blackjack, roulette, progressive video slots. When you start seeing money pouring in, our safe and reliable games will make you smile. We take fun seriously. When you win, we win! We work for you, we pay! You play!  http://casinojackpotsdeals.com www.example.com/",English,"34. Relax on the sofa and enjoy poker, blackjack, roulette, progressive video slots. When you start seeing money pouring in, our safe and reliable games will make you smile. We take fun seriously. When you win, we win! We work for you, we pay! You play!  http://casinojackpotsdeals.com www.example.com/","```json
{
  ""Authority Bias"": 0.0,
  ""Survivorship Bias"": 0.1,
  ""Pessimism Bias"": 0.0,
  ""Zero-Risk Bias"": 0.1,
  ""Hyperbolic Discounting"": 0.9,
  ""Identifiable Victim Effect"": 0.0,
  ""Appeal to Novelty"": 0.0,
  ""Urgency Effect"": 0.0,
  ""Curiosity bias"": 0.3,
  ""Conformity bias"": 0.0
}
```",,0.0,0.1,0.0,0.1,0.9,0.0,0.0,0.0,,,,
10,39. 我们是最早为美国公民提供安全且负担得起的药物的互联网化学家之一。值得信赖的在线健康商店，可在线购买药物。在这里！entlassene fBftpusers感叹escucharon exegetical eriophorum面部植物类表皮脂肪酸乙烯expropriate erubescent,0,0,0,1,0,0,0,0,0,0,39. We were one of the first Internet chemists to provide safe and affordable medicines to American citizens. A trustworthy online health store where you can buy medicines online. Here it is! entlassene fBftpusers lamented escucharon exegetical eriophorum facial plant epidermal fatty acid ethylene exclusive erobic,Chinese,39. 我们是最早为美国公民提供安全且负担得起的药物的互联网化学家之一。值得信赖的在线健康商店，可在线购买药物。在这里！entlassene fBftpusers感叹escucharon exegetical eriophorum面部植物类表皮脂肪酸乙烯expropriate erubescent,"```json
{
    ""Authority Bias"": 0.5,
    ""Survivorship Bias"": 0.0,
    ""Pessimism Bias"": 0.0,
    ""Zero-Risk Bias"": 0.1,
    ""Hyperbolic Discounting"": 0.7,
    ""Identifiable Victim Effect"": 0.0,
    ""Appeal to Novelty"": 0.6,
    ""Urgency Effect"": 0.0,
    ""Curiosity"": 0.1,
    ""Conformity"": 0.0
}
```",,0.5,0.0,0.0,0.1,0.7,0.0,0.6,0.0,0.1,0.0,,
